path	fn	n	cast	class
_build/cast_sites.tl	function_name	1	local raw = fn as {string: any} -- cast: tl-parser field this Node kind doesn't name	tl compiler surface
_build/cast_sites.tl	function_name	2	local name_field = raw.name as {string: any} -- cast: tl-parser field this Node kind doesn't name	tl compiler surface
_build/cast_sites.tl	owner_text	1	local ot = o as {string: any} -- cast: tl-parser field this Node kind doesn't name	tl compiler surface
_fuzz/compress_fuzz_test.tl	test_round_trip_identity	1	{format = format as compress.DecompressFormat})	enum relation
_fuzz/driver.tl	find_ccov	1	local req = require as function(string): any -- cast: bypass static module resolution	module surface record
_fuzz/driver.tl	find_ccov	2	return req("cosmo.cov") as CCov -- cast: dynamic require returns any	module surface record
_make/closure.tl	fresh	1	local it = (into as fs.Stat):modify_time() -- cast: same	record union after guard
_make/stage.tl	graph_stage	1	local sel = v.select as Selection -- cast: a graph verb always has one	record union after guard
_perf/bench/micro_bench.tl	scenarios	1	return (a as ip.Addr):format()	record union after guard
_tool/coverage/lines.tl	executable_lines	1	walk(ast as {any: any}, {}, out) -- cast: ast node as generic map	tl compiler surface
_tool/coverage/lines.tl	walk	1	for _, child in ipairs(node as {any}) do -- cast: array view of ast map	tl compiler surface
_tool/coverage/lines.tl	walk	2	for _, e in ipairs(v as {any}) do -- cast: array view of ast map	tl compiler surface
_tool/coverage/minimum_test.tl	run_gate	1	return code_or_err as integer, check.must(fs.read(stderr_path)) -- cast: pcall's return is `any`, and gate always returns an integer	pcall return shape
_tool/discover.tl	definitions_of	1	for _, stmt in ipairs(program as {any}) do	tl compiler surface
_tool/discover.tl	definitions_of	2	local node = stmt as {string: any} -- cast: tl AST node fields	tl compiler surface
_tool/discover.tl	definitions_of	3	local name_node = node["name"] as {string: any}	tl compiler surface
_tool/doc/signature.tl	function_signatures	1	local fn = n as FnNode -- cast: local_function/global_function/record_function fields cosmic.ast.Node doesn't model	tl compiler surface
_types/gentype.tl	<chunk>	1	local render = require("_types.gentype_render") as GentypeRender -- cast: narrow surface	module surface record
_types/gentype.tl	<chunk>	2	local extract = require("_types.gentype_extract") as GentypeExtract -- cast: narrow surface	module surface record
_types/gentype.tl	<chunk>	3	local parse = require("_types.gentype_parse") as GentypeParse -- cast: narrow surface	module surface record
_types/gentype_defs.tl	read	1	local reader = handle as zip.Reader -- cast: from any	userdata boundary
_types/tlast.tl	array_part	1	return t as {any} -- cast: array view of a mixed AST table	tl compiler surface
_types/tlast.tl	generate	1	local tl = tl_any as {string: any} -- cast: freshly loaded module surface	module surface record
_types/tlast.tl	generate	2	local hooks = tl.ast_hooks as {string: any} -- cast: carried-patch surface	module surface record
_types/tlast.tl	generate	3	local parse = tl.parse as function(string, string, string): ({any: any}, {any})	tl compiler surface
_types/tlast.tl	generate	4	hooks.type_mt as {any: any}) -- cast: metatable as plain table identity	metatable access
